number,title,body
1,[Infra] Network service needed,"As we use `Clickhouse` to finish all queries and the database is inside the campus. a solution about how to visit internal service from Internet is essential.

There are two approaches for this issue:
- Expose a public service to Internet, which means need to fill an application.
- If the internal machine has a stable network to visit Internet, we can use proxy like [smee.io](smee.io) to forward requests to it.

The first one is preferred because according to current situation the visit to Internet is not stable and if the network broke, it is hard to reset the service without restart the app."
2,[Feature] Basic framework needed,We need a basic framework and file structure of this report project.
3,[Infra] Slack channel setup with synchronization,"Like `Wuhan2020` project, I think we can also use Slack as the IM tool for collaberation, and an independent workspace is mroe suitable.

Any suggestions ? "
7,[Test] A test issue for anything.,This is a test issue.
12,[Feature] Auto update report component needed,We need an auto update report component for hypertrons to make sure we can automatically update the report by data and template regularly.
13,[Feature] Sql run command need to be supported,"We need to support `/sql-run` command, which will trigger a pull request SQL request from Hypertrons and return the result by comment."
20,[Discussion] We need to determine the license we use,"At start, I commit Apache 2.0 License for the project, I think it is OK for the code part which is the hypertrons workflow components and post processor for SQL components.

But we should also determine what License we use for the docs part which is the report, I think we should protect the report quite carefully, maybe one of CC-BY 4.0 can be considered.

WDYT?"
22,[Docs] Contributing guide doc needed.,"We need a comprehensive contributing guide for developers both in English and in Chinese.

The contributing guide can be like a traditional one but with the custom workflow of this project."
23,[Docs] Data description doc needed,"The data description document need to be added, which may include data source, database, data structure, basic SQL guide and other things about the data to help developers understand how to use data."
24,[Docs] Architect & workflow doc needed,"We need a document to describe the architect of the infrastructure and workflow of the project, like hypertrons, database and etc.

We can use plantuml files to render the diagram, hypertrons may provide render ability of this kind of files."
25,[Docs] We need to add more details to the report template,"The report template is quite simple now, we can add more details into it, refer to [GitHub Analysis Report 2019]() and may involve several SQL components development."
34,[Feature] UML renderer for PR should be in work flow,"We have a lot of diagrams written in UML format and we can render them with Hypertrons too. But if the UML file is edited from a PR, we can not easily check whether it is as expected or not.

For UML files in PR, maybe we can provide a component to render them in PR and comment back to check."
39,[Docs] Add workflow for other types of commiting(besides sql),"We need a document to describe the workflow for commiting other files(excluding sql). Such as  if the PR contains `docs` in the title, the bot will add `area/document` label."
42,[Proposal] New committer proposal,"As [`CONTRIBUTORS`]() file shows, @sunshinemingo is quite active for past two weeks in project discussion, I propose @sunshinemingo to be our new committer to approve PR."
